domain	programID	programName	datasetID	datasetName	runID	tunedHyperparameters	error
MulticlassClassification	38	svmlight_multiclass-linear	154	multiclass-sample	165	false	0.5
MulticlassClassification	39	svmlight-linear	154	multiclass-sample	169	false	0.5
MulticlassClassification	39	svmlight-linear	155	shuttle-landing-control	170	false	0.25
MulticlassClassification	39	svmlight-linear	157	annealing	171	false	0.533333333333333
MulticlassClassification	39	svmlight-linear	159	hepatitis	172	false	0.869565217391304
MulticlassClassification	39	svmlight-linear	160	molecular-biology-splice	173	false	0.770114942528736
MulticlassClassification	39	svmlight-linear	162	waveform-noise	174	false	0.672
MulticlassClassification	39	svmlight-linear	163	pima-indians-diabetes	175	false	0.369565217391304
MulticlassClassification	39	svmlight-linear	166	primary-tumor	178	false	0.735294117647059
MulticlassClassification	39	svmlight-linear	168	waveform	180	false	0.668666666666667
MulticlassClassification	39	svmlight-linear	169	thyroid-new	181	false	0.359375
MulticlassClassification	39	svmlight-linear	170	page-blocks	182	false	0.0986601705237515
MulticlassClassification	39	svmlight-linear	171	tic-tac-toe	183	false	0.644599303135889
MulticlassClassification	39	svmlight-linear	172	monks-3	184	false	0.527777777777778
MulticlassClassification	39	svmlight-linear	173	thyroid-hypothyroid	185	false	0.951527924130664
MulticlassClassification	39	svmlight-linear	174	balance-scale	186	false	0.925133689839572
MulticlassClassification	39	svmlight-linear	175	lenses	187	false	1.0
MulticlassClassification	39	svmlight-linear	176	iris	188	false	0.644444444444444
MulticlassClassification	39	svmlight-linear	177	trains	189	false	1.0
MulticlassClassification	39	svmlight-linear	178	thyroid-sick	190	false	0.0617283950617284
MulticlassClassification	39	svmlight-linear	179	thyroid-allbp	191	false	0.994855967078189
MulticlassClassification	39	svmlight-linear	181	breast-cancer	192	false	0.267441860465116
MulticlassClassification	39	svmlight-linear	182	thyroid-allhypo	193	false	0.958847736625514
MulticlassClassification	39	svmlight-linear	183	lymphography	194	false	0.977272727272727
MulticlassClassification	39	svmlight-linear	184	thyroid-ann	195	false	0.978704784130688
MulticlassClassification	39	svmlight-linear	185	vowel-context	196	false	0.895622895622896
MulticlassClassification	39	svmlight-linear	186	statlog-segment	197	false	0.873015873015873
MulticlassClassification	39	svmlight-linear	187	letter-recognition	198	false	0.961666666666667
MulticlassClassification	39	svmlight-linear	188	heart-disease-va	199	false	0.75
MulticlassClassification	39	svmlight-linear	189	statlog-australian	200	false	0.429951690821256
MulticlassClassification	39	svmlight-linear	190	statlog-satimage	201	false	0.7695
MulticlassClassification	39	svmlight-linear	191	monks-1	202	false	0.5
MulticlassClassification	39	svmlight-linear	192	breast-cancer-wdbc	203	false	0.994152046783626
MulticlassClassification	39	svmlight-linear	193	thyroid-euthyroid	204	false	0.100105374077977
MulticlassClassification	39	svmlight-linear	194	credit-screening	205	false	0.439613526570048
MulticlassClassification	39	svmlight-linear	196	thyroid-0387	206	false	0.26453488372093
MulticlassClassification	39	svmlight-linear	197	heart-disease-hungarian	207	false	0.375
MulticlassClassification	39	svmlight-linear	198	thyroid-dis	208	false	0.986625514403292
MulticlassClassification	39	svmlight-linear	199	statlog-shuttle	209	false	0.208413793103448
MulticlassClassification	39	svmlight-linear	200	musk-1	210	false	0.363636363636364
MulticlassClassification	39	svmlight-linear	201	statlog-vehicle	211	false	0.723404255319149
MulticlassClassification	39	svmlight-linear	202	voting-records	212	false	0.4
MulticlassClassification	39	svmlight-linear	203	monks-2	213	false	0.328703703703704
MulticlassClassification	39	svmlight-linear	204	statlog-heart	214	false	0.481481481481481
MulticlassClassification	39	svmlight-linear	205	musk-2	215	false	0.154623547246084
MulticlassClassification	39	svmlight-linear	206	molecular-biology-promoters	216	false	0.53125
MulticlassClassification	39	svmlight-linear	207	wine	217	false	0.584905660377358
MulticlassClassification	39	svmlight-linear	209	soybean	218	false	0.960106382978723
MulticlassClassification	39	svmlight-linear	210	ionosphere	219	false	0.647619047619048
MulticlassClassification	39	svmlight-linear	211	thyroid-allhyper	220	false	0.997942386831276
MulticlassClassification	39	svmlight-linear	212	heart-disease-switzerland	221	false	0.945945945945946
MulticlassClassification	39	svmlight-linear	213	connect-4	222	false	0.903044357823062
MulticlassClassification	39	svmlight-linear	214	breast-cancer-wpbc	223	false	0.586206896551724
MulticlassClassification	39	svmlight-linear	215	statlog-german	224	false	0.313333333333333
MulticlassClassification	39	svmlight-linear	216	glass	225	false	0.625
MulticlassClassification	39	svmlight-linear	217	postoperative-patient-data	226	false	0.185185185185185
MulticlassClassification	39	svmlight-linear	218	hayes-roth	227	false	0.65
MulticlassClassification	39	svmlight-linear	219	thyroid-allrep	228	false	0.0380658436213992
MulticlassClassification	39	svmlight-linear	220	chess-krkp	229	false	0.524504692387904
MulticlassClassification	39	svmlight-linear	221	sonar	230	false	0.483870967741935
MulticlassClassification	39	svmlight-linear	222	horse-colic	231	false	0.298507462686567
MulticlassClassification	39	svmlight-linear	223	heart-disease-cleveland	232	false	0.43956043956044
MulticlassClassification	39	svmlight-linear	224	chess-krk	233	false	0.896637756920518
MulticlassClassification	39	svmlight-linear	225	breast-cancer-wisconsin	234	false	0.314285714285714
MulticlassClassification	39	svmlight-linear	226	flags	235	false	0.879310344827586
MulticlassClassification	39	svmlight-linear	228	lung-cancer	236	false	0.5
BinaryClassification	39	svmlight-linear	153	binary-sample	238	true	0.5
MulticlassClassification	39	svmlight-linear	154	multiclass-sample	239	true	failed
MulticlassClassification	39	svmlight-linear	155	shuttle-landing-control	240	true	failed
MulticlassClassification	39	svmlight-linear	157	annealing	241	true	0.533333333333333
MulticlassClassification	39	svmlight-linear	159	hepatitis	242	true	0.869565217391304
MulticlassClassification	39	svmlight-linear	160	molecular-biology-splice	243	true	0.770114942528736
MulticlassClassification	39	svmlight-linear	162	waveform-noise	244	true	0.672
MulticlassClassification	39	svmlight-linear	163	pima-indians-diabetes	245	true	0.369565217391304
MulticlassClassification	39	svmlight-linear	164	mushroom	246	true	0.484612228149364
MulticlassClassification	39	svmlight-linear	165	isolet	247	true	0.961513790891597
MulticlassClassification	39	svmlight-linear	166	primary-tumor	248	true	0.735294117647059
MulticlassClassification	39	svmlight-linear	167	image	249	true	0.857142857142857
MulticlassClassification	39	svmlight-linear	168	waveform	250	true	0.668666666666667
MulticlassClassification	39	svmlight-linear	169	thyroid-new	251	true	0.359375
MulticlassClassification	39	svmlight-linear	170	page-blocks	252	true	0.0986601705237515
MulticlassClassification	39	svmlight-linear	171	tic-tac-toe	253	true	0.644599303135889
MulticlassClassification	39	svmlight-linear	172	monks-3	254	true	0.527777777777778
MulticlassClassification	39	svmlight-linear	173	thyroid-hypothyroid	255	true	0.951527924130664
MulticlassClassification	39	svmlight-linear	174	balance-scale	256	true	0.925133689839572
MulticlassClassification	39	svmlight-linear	175	lenses	257	true	1.0
MulticlassClassification	39	svmlight-linear	176	iris	258	true	0.644444444444444
MulticlassClassification	39	svmlight-linear	177	trains	259	true	1.0
MulticlassClassification	39	svmlight-linear	178	thyroid-sick	260	true	0.0617283950617284
MulticlassClassification	39	svmlight-linear	179	thyroid-allbp	261	true	0.994855967078189
MulticlassClassification	39	svmlight-linear	181	breast-cancer	262	true	0.267441860465116
MulticlassClassification	39	svmlight-linear	182	thyroid-allhypo	263	true	0.958847736625514
MulticlassClassification	39	svmlight-linear	183	lymphography	264	true	failed
MulticlassClassification	39	svmlight-linear	184	thyroid-ann	265	true	0.978704784130688
MulticlassClassification	39	svmlight-linear	185	vowel-context	266	true	0.895622895622896
MulticlassClassification	39	svmlight-linear	186	statlog-segment	267	true	0.873015873015873
MulticlassClassification	39	svmlight-linear	187	letter-recognition	268	true	0.961666666666667
MulticlassClassification	39	svmlight-linear	188	heart-disease-va	269	true	0.75
MulticlassClassification	39	svmlight-linear	189	statlog-australian	270	true	0.429951690821256
MulticlassClassification	39	svmlight-linear	190	statlog-satimage	271	true	0.7695
MulticlassClassification	39	svmlight-linear	191	monks-1	272	true	0.5
MulticlassClassification	39	svmlight-linear	192	breast-cancer-wdbc	273	true	failed
MulticlassClassification	39	svmlight-linear	193	thyroid-euthyroid	274	true	0.100105374077977
MulticlassClassification	39	svmlight-linear	194	credit-screening	275	true	0.439613526570048
MulticlassClassification	39	svmlight-linear	196	thyroid-0387	276	true	0.26453488372093
MulticlassClassification	39	svmlight-linear	197	heart-disease-hungarian	277	true	0.375
MulticlassClassification	39	svmlight-linear	198	thyroid-dis	278	true	0.986625514403292
MulticlassClassification	39	svmlight-linear	199	statlog-shuttle	279	true	0.208413793103448
MulticlassClassification	39	svmlight-linear	200	musk-1	280	true	0.363636363636364
MulticlassClassification	39	svmlight-linear	201	statlog-vehicle	281	true	0.723404255319149
MulticlassClassification	39	svmlight-linear	202	voting-records	282	true	0.4
MulticlassClassification	39	svmlight-linear	203	monks-2	283	true	0.328703703703704
MulticlassClassification	39	svmlight-linear	204	statlog-heart	284	true	0.481481481481481
MulticlassClassification	39	svmlight-linear	205	musk-2	285	true	0.154623547246084
MulticlassClassification	39	svmlight-linear	206	molecular-biology-promoters	286	true	0.53125
MulticlassClassification	39	svmlight-linear	207	wine	287	true	0.584905660377358
MulticlassClassification	39	svmlight-linear	209	soybean	288	true	failed
MulticlassClassification	39	svmlight-linear	210	ionosphere	289	true	0.647619047619048
MulticlassClassification	39	svmlight-linear	211	thyroid-allhyper	290	true	0.997942386831276
MulticlassClassification	39	svmlight-linear	212	heart-disease-switzerland	291	true	0.945945945945946
MulticlassClassification	39	svmlight-linear	213	connect-4	292	true	0.903044357823062
MulticlassClassification	39	svmlight-linear	214	breast-cancer-wpbc	293	true	0.586206896551724
MulticlassClassification	39	svmlight-linear	215	statlog-german	294	true	0.313333333333333
MulticlassClassification	39	svmlight-linear	216	glass	295	true	0.625
MulticlassClassification	39	svmlight-linear	217	postoperative-patient-data	296	true	0.185185185185185
MulticlassClassification	39	svmlight-linear	218	hayes-roth	297	true	0.65
MulticlassClassification	39	svmlight-linear	219	thyroid-allrep	298	true	0.0380658436213992
MulticlassClassification	39	svmlight-linear	220	chess-krkp	299	true	0.524504692387904
MulticlassClassification	39	svmlight-linear	221	sonar	300	true	0.483870967741935
MulticlassClassification	39	svmlight-linear	222	horse-colic	301	true	0.298507462686567
MulticlassClassification	39	svmlight-linear	223	heart-disease-cleveland	302	true	0.43956043956044
MulticlassClassification	39	svmlight-linear	224	chess-krk	303	true	0.896637756920518
MulticlassClassification	39	svmlight-linear	225	breast-cancer-wisconsin	304	true	0.314285714285714
MulticlassClassification	39	svmlight-linear	226	flags	305	true	0.879310344827586
MulticlassClassification	39	svmlight-linear	228	lung-cancer	306	true	0.5
BinaryClassification	39	svmlight-linear	237	svmlight-example1	307	true	0.0283333333333333
Regression	40	svmlight_regression	152	regression-sample	463	true	failed
Regression	40	svmlight_regression	156	echocardiogram	464	true	failed
Regression	40	svmlight_regression	158	housing	465	true	failed
Regression	40	svmlight_regression	161	liver-disorders	466	true	failed
Regression	40	svmlight_regression	180	autos	467	true	failed
Regression	40	svmlight_regression	195	cpu-performance	468	true	failed
Regression	40	svmlight_regression	208	servo	469	true	failed
Regression	40	svmlight_regression	227	auto-mpg	470	true	failed
MulticlassClassification	28	nn-ruby	155	shuttle-landing-control	476	false	0.25
MulticlassClassification	28	nn-ruby	157	annealing	477	false	0.0666666666666667
MulticlassClassification	28	nn-ruby	159	hepatitis	478	false	0.304347826086957
MulticlassClassification	28	nn-ruby	162	waveform-noise	480	false	0.224666666666667
MulticlassClassification	28	nn-ruby	163	pima-indians-diabetes	481	false	0.347826086956522
MulticlassClassification	28	nn-ruby	164	mushroom	482	false	0.0
MulticlassClassification	28	nn-ruby	165	isolet	483	false	failed
MulticlassClassification	28	nn-ruby	166	primary-tumor	484	false	0.676470588235294
MulticlassClassification	28	nn-ruby	167	image	485	false	0.123333333333333
MulticlassClassification	28	nn-ruby	168	waveform	486	false	0.225333333333333
MulticlassClassification	28	nn-ruby	169	thyroid-new	487	false	0.078125
MulticlassClassification	28	nn-ruby	170	page-blocks	488	false	0.0420219244823386
MulticlassClassification	28	nn-ruby	171	tic-tac-toe	489	false	0.0
MulticlassClassification	28	nn-ruby	172	monks-3	490	false	0.1875
MulticlassClassification	28	nn-ruby	173	thyroid-hypothyroid	491	false	0.0168598524762908
MulticlassClassification	28	nn-ruby	174	balance-scale	492	false	0.224598930481283
MulticlassClassification	28	nn-ruby	175	lenses	493	false	0.285714285714286
MulticlassClassification	28	nn-ruby	176	iris	494	false	0.0888888888888889
MulticlassClassification	28	nn-ruby	177	trains	495	false	0.333333333333333
MulticlassClassification	28	nn-ruby	178	thyroid-sick	496	false	0.0946502057613169
MulticlassClassification	28	nn-ruby	179	thyroid-allbp	497	false	0.0421810699588477
MulticlassClassification	28	nn-ruby	181	breast-cancer	498	false	0.209302325581395
MulticlassClassification	28	nn-ruby	182	thyroid-allhypo	499	false	0.044238683127572
MulticlassClassification	28	nn-ruby	183	lymphography	500	false	0.25
MulticlassClassification	28	nn-ruby	184	thyroid-ann	501	false	0.0802217036172695
MulticlassClassification	28	nn-ruby	185	vowel-context	502	false	0.0101010101010101
MulticlassClassification	28	nn-ruby	186	statlog-segment	503	false	0.0447330447330447
MulticlassClassification	28	nn-ruby	187	letter-recognition	504	false	failed
MulticlassClassification	28	nn-ruby	188	heart-disease-va	505	false	0.733333333333333
MulticlassClassification	28	nn-ruby	189	statlog-australian	506	false	0.328502415458937
MulticlassClassification	28	nn-ruby	190	statlog-satimage	507	false	0.1055
MulticlassClassification	28	nn-ruby	191	monks-1	508	false	0.25
MulticlassClassification	28	nn-ruby	192	breast-cancer-wdbc	509	false	1.0
MulticlassClassification	28	nn-ruby	193	thyroid-euthyroid	510	false	0.114857744994731
MulticlassClassification	28	nn-ruby	194	credit-screening	511	false	0.352657004830918
MulticlassClassification	28	nn-ruby	196	thyroid-0387	512	false	0.240915697674419
MulticlassClassification	28	nn-ruby	197	heart-disease-hungarian	513	false	0.295454545454545
MulticlassClassification	28	nn-ruby	198	thyroid-dis	514	false	0.0205761316872428
MulticlassClassification	28	nn-ruby	199	statlog-shuttle	515	false	failed
MulticlassClassification	28	nn-ruby	200	musk-1	516	false	0.216783216783217
MulticlassClassification	28	nn-ruby	201	statlog-vehicle	517	false	0.351063829787234
MulticlassClassification	28	nn-ruby	202	voting-records	518	false	0.0538461538461538
MulticlassClassification	28	nn-ruby	203	monks-2	519	false	0.240740740740741
MulticlassClassification	28	nn-ruby	204	statlog-heart	520	false	0.395061728395062
MulticlassClassification	28	nn-ruby	205	musk-2	521	false	failed
MulticlassClassification	28	nn-ruby	206	molecular-biology-promoters	522	false	0.375
MulticlassClassification	28	nn-ruby	207	wine	523	false	0.245283018867925
MulticlassClassification	28	nn-ruby	209	soybean	524	false	0.111702127659574
MulticlassClassification	28	nn-ruby	210	ionosphere	525	false	0.142857142857143
MulticlassClassification	28	nn-ruby	211	thyroid-allhyper	526	false	0.0329218106995885
MulticlassClassification	28	nn-ruby	212	heart-disease-switzerland	527	false	0.72972972972973
MulticlassClassification	28	nn-ruby	213	connect-4	528	false	failed
MulticlassClassification	28	nn-ruby	214	breast-cancer-wpbc	529	false	0.706896551724138
MulticlassClassification	28	nn-ruby	215	statlog-german	530	false	0.396666666666667
MulticlassClassification	28	nn-ruby	216	glass	531	false	0.359375
MulticlassClassification	28	nn-ruby	217	postoperative-patient-data	532	false	0.481481481481481
MulticlassClassification	28	nn-ruby	218	hayes-roth	533	false	0.275
MulticlassClassification	28	nn-ruby	219	thyroid-allrep	534	false	0.0432098765432099
MulticlassClassification	28	nn-ruby	220	chess-krkp	535	false	0.158498435870699
MulticlassClassification	28	nn-ruby	221	sonar	536	false	0.129032258064516
MulticlassClassification	28	nn-ruby	222	horse-colic	537	false	0.343283582089552
MulticlassClassification	28	nn-ruby	223	heart-disease-cleveland	538	false	0.681318681318681
MulticlassClassification	28	nn-ruby	224	chess-krk	539	false	failed
MulticlassClassification	28	nn-ruby	225	breast-cancer-wisconsin	540	false	0.0380952380952381
MulticlassClassification	28	nn-ruby	226	flags	541	false	0.637931034482759
MulticlassClassification	28	nn-ruby	228	lung-cancer	542	false	0.3
BinaryClassification	39	svmlight-linear	153	binary-sample	544	true	0.5
Regression	61	Linear Regression(beta)	152	regression-sample	548	false	0.8141358876705
Regression	61	Linear Regression(beta)	156	echocardiogram	549	false	799.996882051282
Regression	61	Linear Regression(beta)	158	housing	550	false	565.605592105263
Regression	61	Linear Regression(beta)	227	auto-mpg	551	false	586.662605042017
Regression	61	Linear Regression(beta)	208	servo	552	false	2.83894094450594
